Symbol,Close,Percent Change,Volume
NABIL,880,2.44,72747
NABIL,883,0.34,61628
NABIL,872,-1.25,51322
NABIL,874,0.23,30912
NABIL,875,0.11,23476
NABIL,874,-0.11,23447
NABIL,871,-0.34,17676
NABIL,864,-0.8,20446
NABIL,859,-0.58,22250
NABIL,867,0.93,30640
NABIL,880,1.5,52437
NABIL,876,-0.45,22147
NABIL,877,0.11,16257
NABIL,872,-0.57,26029
NABIL,869,-0.34,27048
NABIL,866,-0.35,24647
NABIL,864,-0.23,19390
NABIL,864,0,15218
NABIL,860,-0.46,29183
NABIL,860,0,25564
NABIL,859,-0.12,18801
NABIL,863,0.47,11214
NABIL,868,0.58,11628
NABIL,880,1.38,30592
NABIL,885,0.57,46895
NABIL,903,2.03,59283
NABIL,902,-0.11,51398
NABIL,894,-0.89,40311
NABIL,886,-0.89,29989
NABIL,888,0.23,15950
NABIL,888,0,20507
NABIL,880,-0.9,34927
NABIL,870,-1.14,72463
NABIL,862,-0.92,90972
NABIL,879,1.97,29034
NABIL,883,0.46,41751
NABIL,887,--,30444
NABIL,901,0,61321
NABIL,905,0,94311
NABIL,965,0.07,223043
NABIL,978,0.01,75761
NABIL,972,-0.01,58491
NABIL,1025,0.05,232466
NABIL,1130,0.09,343732
NABIL,1185,0.05,283683
NABIL,1159,-0.02,196359
NABIL,1119,-0.03,177245
NABIL,1125,0.01,202030
NABIL,1140,0.01,159437
NABIL,1078,-0.05,161986
NABIL,1118,0.04,164879
NABIL,1124,0.01,113499
NABIL,1101,-0.02,77270
NABIL,1120,0.02,86977
NABIL,1159,0.03,110589
NABIL,1227,0.06,273113
NABIL,1240,0.01,161533
NABIL,1248,0.01,149009
NABIL,1235,-0.01,101916
NABIL,1205,-0.02,323164
NABIL,1231,0.02,263971
NABIL,1354,0.1,48213
NABIL,1489,0.1,187508
NABIL,1425,-0.04,425873
NABIL,1384,-0.03,289737
NABIL,1379,0,176237
NABIL,1386,0.01,381895
NABIL,1101,0.06,240703
NABIL,1100,0,126022
NABIL,1125,0.02,152668
NABIL,1111,-0.01,91228
NABIL,1097,-0.01,90991
NABIL,1096,0,76530
NABIL,1091,0,77627
NABIL,1126,0.03,182457
NABIL,1125,0,67113
NABIL,1140,0.01,78962
NABIL,1132,-0.01,48737
NABIL,1128,0,54196
NABIL,1128,0,79293
NABIL,1117,-0.01,65561
NABIL,1103,-0.01,85123
NABIL,1109,0.01,108401
NABIL,1115,0.01,128981
NABIL,1176,0.05,287254
NABIL,1168,-0.01,133717
NABIL,1182,0.01,97355
NABIL,1145,-0.03,138051
NABIL,1110,-0.03,106925
NABIL,1120,0.01,60104
NABIL,1129,0.01,78197
NABIL,1120,-0.01,100026
NABIL,1116,0,82322
NABIL,1114,0,121996
NABIL,1165,0.05,281400
NABIL,1163,0,132993
NABIL,1176,0.01,130150
NABIL,1213,0.03,317291
NABIL,1221,0.01,168891
NABIL,1321,0.08,524258
NABIL,1365,0.03,388814
NABIL,1391,0.02,295552
